iter,label,metric,df,F,R2,p,n_units,n_trt_lvls
81,Rarefied,Gower (sqrt→z),2,4.433459896184205,0.5964194275750407,0.016,9,3
81,Rarefied,Gower (prop→z),2,1.5948954456692694,0.3471015748949136,0.123,9,3
82,Rarefied,Jaccard (incidence),2,0.8791306980567881,0.22663085275708283,0.559,9,3
82,Rarefied,Gower (sqrt→z),2,3.9073891077637284,0.5656824954847155,0.021,9,3
82,Rarefied,Gower (prop→z),2,0.8634948608472014,0.22350097306919958,0.66,9,3
83,Rarefied,Jaccard (incidence),2,1.697735853798283,0.36139449016180947,0.145,9,3
83,Rarefied,Gower (sqrt→z),2,5.04926766227103,0.6272952862455096,0.012,9,3
83,Rarefied,Gower (prop→z),2,1.5586849354678554,0.3419154772774154,0.155,9,3
84,Rarefied,Jaccard (incidence),2,1.071622350230991,0.263192962915678,0.417,9,3
84,Rarefied,Gower (sqrt→z),2,3.997213670625435,0.5712579119036894,0.008,9,3
84,Rarefied,Gower (prop→z),2,1.2979956891462274,0.3020002305781901,0.203,9,3
85,Rarefied,Jaccard (incidence),2,3.0180129874878934,0.5014965892833186,0.013,9,3
85,Rarefied,Gower (sqrt→z),2,6.679803690784638,0.6900763594145964,0.005,9,3
85,Rarefied,Gower (prop→z),2,2.601611894362083,0.46443986899209444,0.008,9,3
86,Rarefied,Jaccard (incidence),2,2.028142390308381,0.40335818536435536,0.012,9,3
86,Rarefied,Gower (sqrt→z),2,4.862484406427784,0.6184412146436283,0.007,9,3
86,Rarefied,Gower (prop→z),2,1.774276115406087,0.37163248888783046,0.038,9,3
87,Rarefied,Jaccard (incidence),2,1.1633661024669124,0.279429210363601,0.355,9,3
87,Rarefied,Gower (sqrt→z),2,3.8966636693544396,0.5650070608299196,0.02,9,3
87,Rarefied,Gower (prop→z),2,1.0470013243850322,0.25871039825867387,0.375,9,3
88,Rarefied,Jaccard (incidence),2,2.253415769403845,0.4289429712622121,0.041,9,3
88,Rarefied,Gower (sqrt→z),2,5.564871101944082,0.6497320316567228,0.009,9,3
88,Rarefied,Gower (prop→z),2,2.248378761404136,0.4283949127182679,0.019,9,3
89,Rarefied,Jaccard (incidence),2,1.785680682104174,0.3731299266960377,0.124,9,3
89,Rarefied,Gower (sqrt→z),2,4.629308715555615,0.60677957704304,0.017,9,3
89,Rarefied,Gower (prop→z),2,1.879529322243932,0.3851866026659308,0.044,9,3
90,Rarefied,Jaccard (incidence),2,1.2418114750010745,0.2927549897772767,0.364,9,3
90,Rarefied,Gower (sqrt→z),2,4.158581100318467,0.5809225378662628,0.029,9,3
90,Rarefied,Gower (prop→z),2,1.2488020230346484,0.29391861900468325,0.277,9,3
91,Rarefied,Jaccard (incidence),2,1.10503456010307,0.26919007475428525,0.345,9,3
91,Rarefied,Gower (sqrt→z),2,4.983774295775256,0.6242378743613156,0.002,9,3
91,Rarefied,Gower (prop→z),2,1.8122688814387238,0.37659343775007637,0.041,9,3
92,Rarefied,Jaccard (incidence),2,2.7601936301562056,0.47918417459194934,0.03,9,3
92,Rarefied,Gower (sqrt→z),2,5.049457511213379,0.6273040766013338,0.003,9,3
92,Rarefied,Gower (prop→z),2,1.7679607352288869,0.3708001876286457,0.064,9,3
93,Rarefied,Jaccard (incidence),2,0.9742957850111845,0.24514928875844674,0.484,9,3
93,Rarefied,Gower (sqrt→z),2,4.1143595655831815,0.5783176303721047,0.004,9,3
93,Rarefied,Gower (prop→z),2,1.3033289293424535,0.3028652819113229,0.178,9,3
94,Rarefied,Jaccard (incidence),2,2.60801700076418,0.4650515503802498,0.007,9,3
94,Rarefied,Gower (sqrt→z),2,4.982887507551568,0.624196132394188,0.003,9,3
94,Rarefied,Gower (prop→z),2,1.5308309004362946,0.3378697934387452,0.123,9,3
95,Rarefied,Jaccard (incidence),2,1.75462769633095,0.3690357707050251,0.081,9,3
95,Rarefied,Gower (sqrt→z),2,5.133447231028519,0.6311527062528649,0.004,9,3
95,Rarefied,Gower (prop→z),2,2.165946631231274,0.419273907735867,0.033,9,3
96,Rarefied,Jaccard (incidence),2,2.697797925386805,0.473480800954109,0.058,9,3
96,Rarefied,Gower (sqrt→z),2,6.460899178440874,0.6829054042943105,0.005,9,3
96,Rarefied,Gower (prop→z),2,2.961274790278839,0.49675193552691865,0.008,9,3
97,Rarefied,Jaccard (incidence),2,3.011340673542729,0.5009432732362551,0.008,9,3
97,Rarefied,Gower (sqrt→z),2,5.856526191803732,0.6612667387833902,0.004,9,3
97,Rarefied,Gower (prop→z),2,2.745989356013684,0.4778967007900501,0.016,9,3
98,Rarefied,Jaccard (incidence),2,1.0736278312919691,0.26355569918410127,0.419,9,3
98,Rarefied,Gower (sqrt→z),2,4.288601729579106,0.5883984183378832,0.021,9,3
98,Rarefied,Gower (prop→z),2,1.2031488114530768,0.28624939668437166,0.289,9,3
99,Rarefied,Jaccard (incidence),2,1.8561652699170388,0.38222860358884553,0.081,9,3
99,Rarefied,Gower (sqrt→z),2,4.0731718899758995,0.5758621384203033,0.004,9,3
99,Rarefied,Gower (prop→z),2,1.4756275261082943,0.32970293383448757,0.123,9,3
100,Rarefied,Jaccard (incidence),2,2.1205551689007356,0.41412602715028846,0.097,9,3
100,Rarefied,Gower (sqrt→z),2,6.194386521688557,0.673713956562156,0.014,9,3
100,Rarefied,Gower (prop→z),2,2.5000493153854917,0.45455034528363425,0.011,9,3
101,Rarefied,Jaccard (incidence),2,1.8017560473732785,0.3752285683815403,0.171,9,3
101,Rarefied,Gower (sqrt→z),2,3.722858196999339,0.5537612259412207,0.006,9,3
101,Rarefied,Gower (prop→z),2,1.1402866228069428,0.27541248389075923,0.344,9,3
102,Rarefied,Jaccard (incidence),2,3.637522309837245,0.5480241180426915,0.008,9,3
